samsunggalaxys4, 2600, samsungGALAXY S4(I9500)
hm, 2000, HM
xiaomim3, 3600, xiaomiM3(Mi3)
vivox3, 2000, vivo X3
samsungi8552, 2000, samsungI8552(GALAXY Win)
xiaomi2s, 2000, xiaomi手机2S(16GB)
meizumx2, 1800, meizuMX2
huaweig520, 1700, huaweiG520
coolpad8085, 1900, coolpad8085
samsunggalaxys3, 2100, samsungGALAXY S3(I9300)
oppofind5, 2500, OPPO Find 5
huaweiascendp6, 2000, huaweiAscend P6
samsungs7562, 1500, samsungS7562
xiaomi2a, 2030, xiaomi手机2A
samsunggalaxynoteiin7100, 3100, samsungGALAXY Note II N7100(16GB)
huaweic8815, 2100, huaweiC8815
n6, 2500, 北斗青葱N6
samsungi9128, 2100, samsungI9128
gioneev182, 4000, gioneeV182
oppofind532gb, 2510, OPPO Find 5 32GB
oppofind5, 2510, OPPO Find 5 电信版
lenovoa390t, 1500, lenovoA390t
s1, 1800, 朵唯S1
vivoy19t, 2000, vivo Y19t
sonyxperiazl36h, 2330, sonyXperia Z L36h
samsungi879, 2100, samsungI879
samsungi8268, 1700, samsungI8268
n6, 2500, 北斗青葱N6(勇气版)
samsungi8558, 2000, samsungI8558(GALAXY Win)
samsungi9152, 2600, samsungI9152(GALAXY MEGA 5.8双卡版)
samsungs7572, 1500, samsungS7572
sonys39h, 2330, sonyS39h(Xperia C)
lenovoa830, 2250, lenovoA830
lenovoa278t, 1500, lenovoA278t
oppofind7, 4000, OPPO Find 7
gioneee5, 2000, gioneeE5
samsunggalaxynote3, 3200, samsungGALAXY Note 3(GALAXY Note III)
n1, 2500, 青橙N1一九四九
coolpads8720, 2000, coolpad炫影S 8720
samsungs7898, 1500, samsungS7898
htcone, 2300, 新HTC One(32GB)
oppor819t, 2000, OPPO R819T
samsungi959, 2600, samsungI959(GALAXY S4电信版)
samsungi9200, 3200, samsungI9200(GALAXY MEGA 6.3/16GB)
vivoy11, 1700, vivo Y11
sonyxl39h, 3000, sonyXL39h(Xperia Z Ultra)
coolpad7269, 1700, coolpad7269
sonyxperiaz1l39h, 3000, sonyXperia Z1 L39h
lenovos820, 2000, lenovoS820
samsungi939d, 2100, samsungI939D (GALAXY SIII电信双卡版)
vivos9, 2000, vivo S9
gioneee6, 2000, gioneeE6
gioneew800, 2300, gioneeW800
huaweiascendg700, 2150, huaweiAscend G700
gioneegn705t, 1800, gioneeGN705T
samsungp709, 2600, samsungP709(GALAXY MEGA 5.8电信版)
coolpad8012, 1250, coolpad8012
coolpad5950, 2500, coolpad5950
samsungi8262d, 1700, samsungI8262D
lenovoa630t, 1700, lenovoA630T
coolpadmaxii7296, 2500, coolpadMAX II 7296
lenovoa656, 2000, lenovoA656
