HTC,HTC Incredible S,,
1005TG,A10-QM,,
1005TG,N10-QM,,
1005TG,N10,,
1005TG,MID,,
1005TG,A10-QM,,
1005TG,A10-QM,,
1080P-N003,1080P-N003,,
3GNET,U98,,
4S,4S,,
592zn,K-Touch W650,,
592zn,K-Touch U86,,
592zn,K-Touch U86,,
592zn,K-Touch U86,,
592zn,K-Touch U86,,
592zn,K-Touch W650,,
5Aiu,RunboX5-W,,
5Aiu,NM860,,
5Aiu,GoldWind,,
A2,A2,,
A2,A2,,
A2,A2,,
A2,A2,,
A2,A2,,
A2,A2,,
A2,A2,,
A2,A2,,
A2,A2,,
A7008TG,A78,,
A7008TG,N79,,
A7008TG,N79,,
Acer,A500,,
Acer,Liquid MT,,
Acer,AK330S,,
Acer,Liquid MT,,
Acer,A510,,
Acer,Liquid MT,,
Acer,V360,,
ACER,AT390,,
acer,B1-A71,,
Acer,Z120,,
acer,B1-A71,,
Acer,V370,,
Acer,E350,,
Acer,A1-810,,
Acer,A1-810,,
Acer,V360,,
Acer,AK330,,
Acer,V360,,
Acer,V360,,
ACER,AT390,,
Acer,V360,,
Acer,A500,,
Acer,A500,,
Acer,V350,,
Acer,A100,,
Acer,AK330S,,
Acer,V360,,
ACER,AT390,,
Acer,E350,,
Acer,A500,,
Acer,V360,,
ACER,AT390,,
Acer,A200,,
Acer,A100,,
Acer,AK330S,,
acer,B1-A71,,
Acer,AK330S,,
acer,B1-A71,,
Acer,A100,,
ACER,AT390,,
Acer,A500,,
Acer,V360,,
acer,B1-A71,,
acer,B1-A71,,
Acer,Liquid MT,,
Acer,A500,,
Acer,AK330S,,
Acer,A100,,
acer,B1-A71,,
acer,B1-A71,,
Acer,A500,,
Acer,AK330S,,
Acer,A1-810,,
Acer,AK330S,,
Acer,A500,,
Acer,A500,,
Acer,V360,,
acer,B1-A71,,
Acer,E350,,
Acer,V360,,
Acer,Liquid MT,,
ACER,AT390,,
Acer,A100,,
Acer,S300,,
Acer,A1-810,,
Acer,V360,,
acer,DA241HL,,
Acer,AK330S,,
ACER,AT390,,
Acer,Liquid MT,,
Acer,A101,,
Acer,AK330S,,
Acer,AK330S,,
Acer,A100,,
Acer,A100,,
Acer,AK330s,,
Acer,S500,,
Acer,V360,,
Acer,V360,,
Acer,AK330S,,
Acer,A500,,
Acer,Stream,,
Acer,A510,,
Acer,A500,,
Acer,Liquid,,
ACER,AT390,,
Acer,S300,,
Acer,S510,,
Acer,A100,,
acer,B1-A71,,
Acer,A500,,
acer,B1-A71,,
Acer,A100,,
acer,B1-A71,,
Acer,A500,,
acer,B1-710,,
Acer,A100,,
Acer,A500,,
Acer,A500,,
aigo,aigo_D1,,
ALCATEL,TCL C990,,
ALCATEL,TCL C990,,
ALCATEL,TCL C990,,
ALCATEL,TCL C995,,
alps,JY-G2,,
alps,K-one,,
alps,JY-G2,,
alps,HT7100,,
alps,BM99-2,,
alps,Mytel,,
alps,ASK_SP581_HD,,
alps,NOAIN A900,,
alps,GHONG T618,,
alps,GHONG T618,,
alps,R817,,
alps,Dorado D1+,,
alps,Newcall-AG795,,
alps,ZTE U956,,
alps,W58SX,,
alps,E5680,,
alps,Tensent S9000,,
alps,AOLE,,
alps,OKA13,,
alps,HD470,,
alps,MOFUT-F8YL,,
alps,K-one,,
alps,iPhone 4S,,
alps,ZTE U956,,
alps,ZP100,,
alps,ZTE U956,,
alps,JY-G2,,
alps,CROSS-A20G,,
alps,JY-G2,,
alps,hexing15_6626_gb2,,
alps,GIPO-I66,,
alps,S4+,,
alps,SOP-G926,,
alps,TETC G16,,
alps,vanzo77_ics2,,
alps,PULID F11,,
alps,B722,,
alps,LM A15+,,
alps,N9,,
alps,ZTE U956,,
alps,JY-G2,,
alps,T9555,,
alps,fulinpengda,,
alps,GT-S5830i,,
alps,GT-S5830i,,
alps,SOP-W168,,
alps,TIANPIN UNT988,,
alps,K-one,,
alps,W88,,
alps,n920,,
alps,K2,,
alps,MOFUT-F8SH,,
alps,JY-G2,,
alps,Mytel,,
alps,K-one,,
alps,BF_G11,,
alps,JY-G2,,
alps,JY-G2,,
alps,R801T,,
alps,X5,,
alps,K1391,,
alps,H311,,
alps,DX678,,
alps,HTC_One_S,,
alps,SHMA-S2000,,
alps,R811,,
alps,BF_G11,,
alps,K1391,,
alps,i 6,,
alps,n920,,
alps,GOCAN-P98,,
alps,A08,,
alps,GT-S5830,,
alps,intki E96,,
alps,S600S,,
alps,A9,,
alps,MOFUT T5,,
alps,JY-G2,,
alps,V936,,
alps,BL-A10D,,
alps,P860,,
alps,epade A360S,,
alps,JY-G2,,
alps,JXD_P300,,
alps,DOOV_D600,,
alps,OZZO-158,,
alps,N620,,
alps,Mytel,,
alps,OPSSON iMO850,,
alps,signal75_gb2,,
alps,PB-S3-77,,
alps,ZIVI I8550,,
alps,TELSDA-3696,,
alps,EBEST F5,,
alps,DKMobiles,,
alps,HTC Rezound,,
alps,signal75_gb2,,
alps,K-Touch U81t,,
alps,KliTON-P600,,
alps,U701T,,
alps,e1901_v77_jbl1_9p017,,
alps,G9,,
alps,Aole,,
alps,T5966,,
alps,JY-G2,,
alps,HEDY_H701,,
alps,jinhuacheng,,
alps,EPADE S3,,
alps,PB-S3-77,,
alps,HEDY_H701,,
alps,W960,,
alps,TSC Z10,,
alps,Epade S3,,
alps,X4,,
alps,Android,,
alps,LM A15,,
alps,FDT C838,,
alps,X8 NOTE,,
alps,KliTON-I51SH,,
alps,U-81,,
alps,Infinity HD2+,,
alps,AS-05,,
alps,DOOV_D600,,
alps,HEDY_H701,,
alps,V610A,,
alps,K1391,,
alps,I9000,,
alps,Lovme X20,,
alps,HW-W718,,
alps,hexing15_6626_gb2,,
alps,R813T,,
alps,OPSSON iMO F4T,,
alps,W109,,
alps,NOAIN A609,,
alps,EPADE S3,,
alps,XiND XD6S,,
alps,LG9100,,
alps,MOFOTO T6100,,
alps,U705T,,
alps,V88,,
alps,DK PAD99,,
alps,i9,,
alps,MI2,,
alps,X2,,
alps,ZTE U956,,
alps,VINUS V6,,
alps,SOP-G928,,
alps,PB-S3,,
alps,HTC_One,,
alps,V936,,
alps,MIGO_G9100,,
alps,TE600-H,,
alps,ETA 18,,
alps,OPSSON IVO6600,,
alps,QIXINGHEN6866,,
alps,HTC_One,,
alps,U701,,
alps,JY-G2,,
alps,v89_zlh_hd,,
alps,Coolgen E71 HD,,
alps,YOORD D599,,
alps,JY-G2,,
alps,LA-I Dual core,,
alps,TETC-W318,,
alps,W686,,
alps,A9,,
alps,R817,,
alps,AK3Z,,
alps,IHD866,,
alps,ZOYE V16S,,
alps,e1808_v75_jbl1,,
alps,J358,,
alps,VB910,,
alps,OUKI-A8,,
alps,E96,,
alps,iphone 5,,
alps,chuangyi,,
alps,OPSSON IVO6600,,
alps,D9900,,
alps,JY-G2,,
alps,R813T,,
alps,Infinity HD2,,
alps,SUBOR_EARI,,
alps,K2,,
alps,CHIVA V936 NOTE,,
alps,W7200,,
alps,A66,,
alps,RSD-V1,,
alps,R801,,
alps,DK V350,,
alps,小宇�?×1,,
alps,JY-G1,,
alps,N920A,,
alps,TIANPIN UNT988,,
alps,JY-G2,,
alps,LA-I Q1,,
alps,A2,,
alps,JY-G2,,
alps,AOLE,,
alps,GETEK-A5,,
alps,GOBO i8,,
alps,IUSAI i701,,
alps,S600,,
alps,T9,,
alps,POP-P3,,
alps,Q071,,
