HTC,001HT
1005TG,A10-QM
1005TG,MID
1005TG,N10
1005TG,N10-QM
1080P-N003,1080P-N003
3GNET,U98
4S,4S
592zn,K-Touch U86
592zn,K-Touch W650
5Aiu,GoldWind
5Aiu,NM860
5Aiu,RunboX5-W
A2,A2
A7008TG,A78
A7008TG,N79
Acer,A1-810
Acer,A100
Acer,A101
Acer,A200
Acer,A500
Acer,A510
Acer,AK330
Acer,AK330S
ACER,AT390
acer,B1-710
acer,B1-A71
acer,DA241HL
Acer,E350
Acer,Liquid MT
Acer,Liquid
Acer,S300
Acer,S500
Acer,S510
Acer,Stream
Acer,V350
Acer,V360
Acer,V370
Acer,Z120
aigo,aigo_D1
ALCATEL,TCL C990
ALCATEL,TCL C995
alps,9
alps,03_v89_jbl
alps,15_6626
alps,4S
alps,5S
alps,6S
alps,7100
alps,750
alps,808
alps,A08
alps,A10
alps,A18
alps,A2
alps,A208
alps,A350
alps,A66
alps,A7*
alps,A8
alps,A8-NETPAL Smart V5
alps,A9
alps,A9550
alps,AK3Z
alps,ANTAI
alps,AOLE G3
alps,AOLE
alps,AOLE_858-4
alps,AS-05
alps,ASK_SP581_HD
alps,Advance TV
alps,Android
alps,Android(MT6589/4核)
alps,B722
alps,BAOFA M2
alps,BF A16
alps,BF-A10
alps,BF9300
alps,BF_A18
alps,BF_A6
alps,BF_A8
alps,BF_G11
alps,BL-A10D
alps,BM99-2
alps,BOHP P3
alps,BOHP P5
alps,BOHP-P5A
alps,BP-I9300
alps,C09S
alps,C12
alps,C2268
alps,C868
alps,C9
alps,CHIVA V936 NOTE
alps,COGOO Cosmic7
alps,COLMI E8
alps,CROSS-A20G
alps,CSN C11
alps,CT97
alps,CT99
alps,ChanghongV7
alps,Chenovo-M2+
alps,ChonghongV8
alps,Cloudfone Thrill 530qx
alps,Coolgen E71 HD
alps,Coolgen E72 Note3+
alps,D118
alps,D9900
alps,DH U890
alps,DK P110
alps,DK P120
alps,DK PAD99
alps,DK V350
alps,DK35A++
alps,DK35B
alps,DKMobiles
alps,DMD G20B
alps,DOEASY_E800
alps,DOOV_D600
alps,DTY
alps,DW-E20
alps,DX678
alps,Domod G17
alps,Dorado D1+
alps,E10B
alps,E120L
alps,E5680
alps,E818
alps,E830
alps,E9
alps,E900
alps,E9002
alps,E9003
alps,E96
alps,E960
alps,EA6900T
alps,EBEST F5
alps,EBEST V8
alps,EPADE S3
alps,ET A16
alps,ETA 18
alps,ETON T750
alps,F-ONE
alps,F108W
alps,FDT C838
alps,FDT G505
alps,G100
alps,G23
alps,G5
alps,G7
alps,G8801
alps,G8802
alps,G9
alps,G9800+
alps,GETEK-A5
alps,GETEK-A6B
alps,GETEK-A8
alps,GFIVE A770
alps,GHONG T618
alps,GIPO-I66
alps,GK1198
alps,GN800
alps,GO F1
alps,GOB A360
alps,GOBO i8
alps,GOCAN-P98
alps,GT-I8190
alps,GT-I9502
alps,GT-I9508
alps,GT-N7100
alps,GT-N7102
alps,GT-S5830
alps,GT-S5830i
alps,GT-S7562
alps,GT-i9220
alps,GT-i9300
alps,GT_S5830i
alps,GXQ_G1
alps,H15 Aries
alps,H311
alps,H701
alps,H7538
alps,HD-89
alps,HD470
alps,HEDY_H701
alps,HEDY_S801
alps,HOOW G6
alps,HOSIN T70
alps,HOSIN T70(OPEN)
alps,HOSIN U98
alps,HOSIN_V90
alps,HT7100
alps,HTC EVO 4GS
alps,HTC One S
alps,HTC One X
alps,HTC Rezound
alps,HTC_One
alps,HTC_One_S
alps,HW-W718
alps,HX-M02
alps,HX838
alps,Haier-W718
alps,Huawei
alps,I3
alps,I8000S
alps,I9000
alps,I9000S
alps,I9200
alps,I9900S
alps,IHD828
alps,IHD866
alps,ING800
alps,IUSAI i500
alps,IUSAI i701
alps,Infinity HD2
alps,Infinity HD2+
alps,J358
alps,JXD_P300
alps,JY-G1
alps,JY-G2
alps,K-Touch Kis 1
alps,K-Touch U81t
alps,K-one
alps,K1391
alps,K2
alps,K5
alps,KAVA V800
alps,KAVA
alps,KPT A43W
alps,KPT A9PLUS
alps,KT918+
alps,KliTON I806LS
alps,KliTON-I51SH
alps,KliTON-P600
alps,LA-I Dual core
alps,LA-I Q1
alps,LA-I
alps,LA-Q1
alps,LG9100
alps,LINGWIN U820S
alps,LM A15
alps,LM A15+
alps,LXT
alps,Lenovo A820t
alps,Lingwin 880C
alps,Lovme X20
alps,M2
alps,M7
alps,MASTONE G13
alps,MD656LL
alps,MI2
alps,MID
alps,MIGO_G9100
alps,MINI520
alps,MLLED M1
alps,MLLED_M1
alps,MOFOTO T6100
alps,MOFUT F1
alps,MOFUT T5
alps,MOFUT-F8SH
alps,MOFUT-F8YL
alps,MT6589
alps,MX X1
alps,MX-2
alps,MX2
alps,MyPhone A848i Duo
alps,Mytel
alps,N620
alps,N9
alps,N920A
alps,NOAIN A609
alps,NOAIN A700
alps,NOAIN A900
alps,NOAIN A900S
alps,NOAIN A908
alps,Netpal_A8_miPad
alps,Newcall-AG795
alps,Newish W500
alps,OK A15至尊版
alps,OKA13
alps,OKU1
alps,OPSSON IVO6600
alps,OPSSON iMO F4T
alps,OPSSON iMO1000
alps,OPSSON iMO850
alps,OUKI OK16S
alps,OUKI-A8
alps,OZZO-119+
alps,OZZO-119A
alps,OZZO-158
alps,P01C
alps,P200
alps,P200四核
alps,P2A
alps,P5
alps,P568D
alps,P860
alps,P860M
alps,PB-S3
alps,PB-S3-77
alps,PL998
alps,POP-P3
alps,PULID F11
alps,PULID F7
alps,Phonei5
alps,Q071
alps,Q1
alps,Q1亲情版
alps,Q508
alps,Q7CE
alps,Q8E
alps,Q918
alps,QIANGZHE P6
alps,QIXINGHEN6866
alps,R601
alps,R801
alps,R801T
alps,R805
alps,R811
alps,R813T
alps,R817
alps,RLT7777
alps,RO22
alps,RSD-V1
alps,Royalstar C188
alps,S108
alps,S4+
alps,S5
alps,S600
alps,S600S
alps,S6102
alps,S800_AE902
alps,S901
alps,SA-i960
alps,SHMA S1000
alps,SHMA-S2000
alps,SOP-G926
alps,SOP-G928
alps,SOP-G998-2
alps,SOP-W168
alps,SUBOR_EARI
alps,Simtelep Q68
alps,T29
alps,T33333
alps,T5966
alps,T5S
alps,T666
alps,T8100
alps,T9
alps,T900
alps,T9300i
alps,T9555
alps,T9989
alps,TCL J320T
alps,TD300
alps,TD800
alps,TE600-H
alps,TELSDA-3696
alps,TETC G16
alps,TETC-W318
alps,TIANPIN UNT988
alps,TOOKY A19PLUS
alps,TOOKY T1982
alps,TOOKY T1992
alps,TOOKY T88
alps,TSC Z10
alps,TSC Z9
alps,TX300
alps,Tensent S9000
alps,U-81
alps,U16
alps,U55GT
alps,U701
alps,U701T
alps,U705T
alps,U8
alps,U802
alps,U930
alps,U930B
alps,U980A
alps,Upad U 98s
alps,V.LAND EX350
alps,V1268
alps,V3
alps,V61
alps,V610A
alps,V62A
alps,V88
alps,V930
alps,V936
alps,V957
alps,V973
alps,V981
alps,V985
alps,VB 920
alps,VB910
alps,VB950
alps,VB_I5
alps,VINUS V6
alps,VINUS-V6
alps,VOTO-J5218
alps,VOW V5
alps,Victory_A18
alps,Victory_S3
alps,W105
alps,W109
alps,W58SX
alps,W6100
alps,W686
alps,W7200
alps,W80
alps,W88
alps,W900
alps,W960
alps,W970
alps,W990
alps,W99C
alps,WG509
alps,WP-W16
alps,X2
alps,X4
alps,X5
alps,X8 NOTE
alps,X9
alps,XiND XD6S
alps,Y210
alps,YC800
alps,YEPEN P666
alps,YOORD D166
alps,YOORD D599
alps,YOORD D766
alps,YP V610
alps,YTONE S3A
alps,YTONE S3C
alps,Z1
alps,Z1898
alps,ZIVI I8550
alps,ZOYE V16S
alps,ZP100
alps,ZP900
alps,ZTE U819
alps,ZTE U956
alps,aomor i8
alps,cayon Q1
alps,chuangyi
alps,crave S5A
alps,e1808_v75_jbl1
alps,e1815_lbx1
alps,e1901_v77_gq2008
alps,e1901_v77_jbl1_9p017
alps,e1911_v77_gq2000_ov5647
alps,eidolon15_nand_gb2
alps,epade A360S
alps,epade A7
alps,epade V05
alps,fulinpengda
alps,hexing15_6626_gb2
alps,i 6
alps,i9
alps,i90
alps,i9220
alps,i9500
alps,iPhone 4S
alps,iPhone5
alps,iPhone_4S
alps,iTouch-T3
alps,imatch i26
alps,intki E96
alps,intkiE93
alps,iphone 5
alps,iphone
alps,jinhuacheng
alps,kliton I30
alps,magcomm77_cu_ics2
alps,magcomm89_ics2
alps,n920
alps,newish V158
alps,shiyu
alps,signal75_gb2
alps,signal75_ics
alps,simdo_D96
alps,uphone
alps,v89_gq2008s
alps,v89_zlh_hd
alps,vanzo77_ics2
alps,xiaomi2
alps,↗卟散唯爱baby?
alps,大显 X920
alps,大显16
alps,小宇宙 ×1
alps,联想a830
Amazon,KFJWI
Amazon,KFOT
Amazon,KFTT
amlogic,K1
AMOI,AMOI A860w
AMOI,AMOI E700C
AMOI,AMOI M8228
AMOI,AMOI N807
AMOI,AMOI N808
AMOI,AMOI N809
AMOI,AMOI N816
AMOI,AMOI N820
AMOI,AMOI N821
AMOI,AMOI N828
AMOI,AMOI N89
AMOI,AMOI N890
AMOI,AMOI_N89
AMOI,Lenovo A830
AMOI,N828_R&A-7YU_20130409_http://rom.7zi.cn
AMPE,A79Q
android,A301C
android,A800
android,A9
Android,AUX V926T
Android,Android(MT6589/4核)
Android,D9
android,G7
android,G9C
Android,G9C_GC
Android,G9C_JLF2
Android,G9C_JLF4
Android,G9C_LX
android,GIPO-T200
android,JY805
Android,KONKA V920
android,L8109
android,L8303
android,LH801
android,M7S
android,N505
Android,S2
Android,TD999
android,UPOO_U2
Android,X3
android,X7
Android,X810i
android,X910
Android,XL_M6
Android,it319TD
AOLE B,AOLE 616 B
aoson,M30Q
aoson,aoson m33
Apple,iphone 5
archos,ARCHOS 80 COBALT
archos,ARCHOS 97 CARBON
archos,Archos 53 Platinum
arnova,ARNOVA 90G3
AS,T103
AS,V13
asus,ASUS A80
ASUS,ASUS T20
asus,ASUS Transformer Pad TF300T
asus,ASUS Transformer Pad TF700T
asus,ME171
asus,ME172V
asus,ME173X
asus,ME301T
asus,ME371MG
asus,Nexus 7
asus,PadFone 2
asus,PadFone Infinity
asus,PadFone
asus,Transformer Prime TF201
asus,Transformer TF101
asus,Transformer TF101G
AUX,M910A
AUX,V900A
AUX,V926B
AUX,V926D
AUX,V929B
AUX,V988AW
AUX,V990
AWIO,AWIO_X800
Baidu,AMOI N816
Baidu,Coolpad 5890
Baidu,Desire S
Baidu,Full AOSP on Maguro
Baidu,GT-I9300
Baidu,GT-N7000
Baidu,GiONEE GN180
Baidu,HTC Desire HD
Baidu,HTC S720e
Baidu,HTC T328d
Baidu,HTC T328t
Baidu,HTC T328w
Baidu,HUAWEI C8812
Baidu,HUAWEI C8812E
Baidu,HUAWEI C8812E-Jelly Bean
Baidu,HUAWEI C8813
Baidu,HUAWEI C8813D
Baidu,HUAWEI C8813Q
Baidu,HUAWEI C8815
Baidu,HUAWEI C8825D
Baidu,HUAWEI C8950D
Baidu,HUAWEI G520-5000
Baidu,HUAWEI U8800 Pro
Baidu,HUAWEI U8818
Baidu,HUAWEI U8825D
Baidu,HUAWEI U8860
Baidu,Incredible S
Baidu,JIAYU G3_ROM
Baidu,JY-G2
Baidu,LNV-Lenovo A600e
Baidu,LT26i
Baidu,Lenovo A630t
Baidu,Lenovo A798t
Baidu,Lenovo A800
Baidu,Lenovo P700i
Baidu,Nexus S
Baidu,ZTE N880E
Baidu,ZTE V970
Baidu,i9250-GN
Baidu,lenovo A710E
BaiduCloud,100A
BBK,BBK S6T
BBK,vivo E1
BBK,vivo E1t
BBK,vivo E5
BBK,vivo S1
BBK,vivo S11t
BBK,vivo S12
BBK,vivo S3
BBK,vivo S3+
BBK,vivo S6
BBK,vivo S6T
BBK,vivo S7
BBK,vivo S7i(t)
BBK,vivo S7t
BBK,vivo S7w
BBK,vivo S9
BBK,vivo V1
BBK,vivo V2
BBK,vivo X1
BBK,vivo X1S
BBK,vivo X1St
BBK,vivo X3t
BBK,vivo X510t
BBK,vivo Xplay
BBK,vivo Y1
BBK,vivo Y11
BBK,vivo Y11t
BBK,vivo Y19t
BBK,vivo Y3t
BD,V13
BenWee,BenWee 5100
BESTSONNY,BestsonnyT962
BESTSONNY,BestsonnyT965
BESTSONNY,T868
Bird,AUX 910+
Bird,Android
Bird,Bird W188
Bird,Doeasy E910
Bird,E909B+
Bird,I800B+
Bird,M500
Bird,T9105
Bird,T9508
BIRD,T9600
BIRD,W800
BIRDA,malataeduz500
BIRDA_MANUFACTURER,DOEASY-i5
BIRDA_MANUFACTURER,HOOW A7
BIRDA_MANUFACTURER,simdo-D90
BJH,VIKO V666
BLEPHONE,C01
BLEPHONE,TD8208
BM90,BM90
BN LLC,BNTV400
BN LLC,BNTV600
BOHP-P5D,BOHP-P5D
BOKAIEN,neken N5
BORQS,MT620t
Borqs,MT620t_ICS
BOVO,S-F16
BOWAY,BOWAY I7
BOWAY,BOWAY U1
BOWAY,i6
BRCM,GP353
brcm,TCL A996
brcm,TCL-A996
brighter,HW-T18
brighter,HW-T18D
Brighter,VS8000
Broncho,TRULY N5+W
BROR,BROR S3
BROR,BROR S9
BROR,BROR W58
BROR,BROR W69
BROR,BROR W70
BSX,WX6
BungBungame,MiSS
BYD,Camden
BYD,K-Touch_E7
BYD,U9 S800
CASIO,CA-201L
CASIO,IS11CA
Casper,CASPER VIA A3316
CCI,msm8660_surf
Cellon,HW-W820
CF109,CF109
cfzz,Lenovo A798t
Changhong,Changhong H5018
Changhong,ChanghongC100
Changhong,ChanghongW6
ChaoXing,P2w
CJCP,Charmpin-G7
CMDC,M601
COKI,AK3Z
COLMEI E5,COLMEI E5
colorfly,CT704 Book
Colorfly,CT801 Eyas
Colorfly,CT801 Q.Ait
colorfly,CT801
Colorfly,CT972 Q.Vanilla 2
Commtiva,XT502
Commtiva,Z71
CONOR,A9
CONOR,CONOR TG99
CONOR,CONOR WG100
CONOR,CONOR WG200
Conor,KR-CONOR E188
Coocaa X200,X200
Coolpad,CoolPad8012
Coolpad,CoolPad8020+
Coolpad,CoolPad8070
Coolpad,Coolpad 5213
Coolpad,Coolpad 5216D
Coolpad,Coolpad 5820
Coolpad,Coolpad 7011
Coolpad,Coolpad 7020
Coolpad,Coolpad 7235
Coolpad,Coolpad 7290
Coolpad,Coolpad 7295+
Coolpad,Coolpad 7295A
Coolpad,Coolpad 7296
CoolPad,Coolpad 8056
CoolPad,Coolpad 8076
Coolpad,Coolpad 9150W
Coolpad,Coolpad7295
Coolpad,Coolpad8070D
Coolpad,Coolpad8888
Coolpad,YL-Coolpad 5210S
coosee,T3668
coosee,T500
cross,A25
CSL,Mi450
Cube,U20GT_C4
cube,U39GT
CUBE,U55GT
Custom Version,Custom Version
CustomVersion,Custom Version
D.Venucia110,MD239CH
DAKELE,DAKELE MC001
Dakele,MC002
Dakele,MC002_H3
DATANG,DATANG S11
daxian,9300
DAXIAN,DK35A
DAXIAN_F758,DAXIAN_F758
DCT,DCT T5
DD,D555
DE,DE-G01
DE,DE-G01X
DE,I9100
DEK,TD6666
Dell,Dell Streak Pro
dell,Dell Streak
Dell,Dell V04B
Dell,GS01
dell,Streak 10 Pro
Dell Inc.,Dell M01M
Dell Inc.,Dell Streak 10 Pro
Dell Inc.,Dell Streak 7
Dell Inc.,Dell Streak
Dell Inc.,Dell Venue
Delta,Zphone100
Dewav,Infinix X501
Dewav,OPSSON IVO6600
Digittalk,DE8101
DLT,E·XUN-D99
docomo,F-12C
DOEASY,DOEASY E930
Doeasy,E800
domod_G50,domod_G50
DOOV,DOOV D360
DOOV,DOOV D500
DOOV,DOOV S1
DOOV,DOOV_D10
DOOV,DOOV_D10S
DOOV,DOOV_D2
DOOV,DOOV_D200T
DOOV,DOOV_D210T
DOOV,DOOV_D3
DOOV,DOOV_D300
DOOV,DOOV_D50
Doov,DOOV_D900
DOOV,DOOV_D910T
DOOV,DOOV_D920
DOOV_D7,DOOV_D7
dopod,dopod A3288
DuoKan,MiBOX
DuoKan,MiBOX_iCNTV
DXWC,ET T45
DXWC,ISA-JADE
E689,E689
EASTCOM,W1
Eavoo,PULID F5
Ebera,Ebera v88
EBEST,EBEST F6
EBEST,EBEST N4
EBEST,EBEST S5
EBEST,EBEST S6
EBEST,EBEST S8
EBEST,EBEST S9
EBEST,EBEST T5
EBEST,EBEST V5
EBEST,EBEST W16A
EBEST,EBEST W50L
EBEST,EBEST W66A
EBEST,EBEST W70
EBEST,I5A
epade,epade C200
epade,epade S300
EPADE,epade_S90
epade,epade_i5
EPHONE,EPHONE A10
EPHONE,EPHONE A18
EPHONE,EPHONE A5
ERENEBEN,EBEN T6
ERENEBEN,EBEN T7
ERENEBEN,T5
ETON,D500
ETON,D510
ETON,ETON D520
ETON,ETON T850
ETON,T600
ETON,T710
ETON,T730
ETON,T820
ETON,T900
EX,EX_S4
Exynos 5410,Galaxy S5
Exynos 5410,M8-A
eZee,eZee'Tab785
Faea,F1
FIH,A5
FIH,ChangHong-Z-ME
