lg p936optimus 4g lte,1830
MOTOROLA XT317,1390
MOTOROLA XT316,1390
MOTOROLA XT319,1390
LG-LU2300,1350
s8600 spark,2000
COOLPAD W770,1500
SH8268U,1170
GT-S5660,1350
s6352galaxy ace dear,1300
venue,1400
HTC DESIREHD A9191 WITH BEATS AUDIO,1230
5855,1400
c01,1400
triumph,1400
u20ix10mini pro,930
LG-P880,2150
GT-I 9100,1650
m939+,1400
m2mi2,2000
tcl a998,1500
CHANGHONG-Z1,3000
u880e,1650
n609,1400
phone p70,2000
htc g20rhyme,1600
phone a360,1500
oppo x905find 3,1520
u880s,1400
lg ls840viper 4g lte,1700
u8850 vision,1400
n88w,1600
lg p760optimus l9,2150
m886mercury,1900
n760,1350
PHILIPS W920,1280
HTC DROID INCREDIBLE 2,1450
ST19I,1200
HTC MYTOUCH 3G SLIDE,1300
n880,1250
lg ms840connect 4g,1540
DROID 2,1400
MOTOROLA ELECTRIFY,1700
LT15/18I,1500
n860,1250
lg p720optimus 3d max,1520
htc g23 one x16gb,1800
oppo r805,1400
phone a750,2000
DROID2 GLOBAL,1420
phone a68e,1300
7266,1500
g500 pro 360,1930
7260,1400
t8808dascend g306t,1500
m3,2000
C8650,1400
m9,1370
HTC EVO 3D BY XIAOLEIZI,1730
i579galaxy ace,1350
vivo e3,2000
c700,1800
vivo e1,1220
ot 919,1300
phone s560,2000
me,1670
phone s760,1760
mi,1930
MOTO XT800W,1390
DESIRE HD,1230
d710epic 4g touch,1800
GN200,1400
LG-C550,1310
vinus v10,1720
HTC G11 FOR VODAFONE,1450
koobee t550,1500
sh-a1+,1550
MOTOROLA XT800W,1390
HUAWEI U8110,1150
htc g14sensation,1520
arrows kiss,1460
C8500,1050
e w2,2000
e w3,2000
xt912droid razr,1780
e w1,1500
HTC DREAM,1150
tg99,1300
v788d,1400
sh8268u,1170
sx30+,1600
x610,1250
HTC INCREDIBLE,1300
lt28hxperia ion,1900
bfb w9600,1800
ME632,1390
GT-P1000T,4000
htc z710t,1520
phone k860,2250
gn858,1700
GT-P1000N,4000
t889galaxy note ii,3100
m190sgalaxy s hoppin,1500
LG-LU8800,1500
vivo y1,1350
HTC DESIRE CDMA,1230
u8185ascend y100,1050
xt535defy xt,1650
HTC DESIRE S S510E,1450
MOTO XT882,1880
t72,1450
e90,1500
w760,1420
XT317,1390
XT316,1390
htc droid dna,2020
gnote,2000
MOTOROLA XT320,1650
htc ville c,1650
TCL A906,1150
HTC CHACHA A810E,1250
xt890razr i,2000
xt800,1390
lg ls969optimus elite,1520
HTC DESIRE HD A9191/4G FOR SPRINT,1230
xt806,1380
t9510e ascend d1  xl,2600
9120s,1700
SCH-I559,1200
s6102galaxy y duos,1300
u806,1200
u805,1200
GT-S5670,1350
m1miui,1930
e5680,1650
SK15I,1200
u9000x6,1400
