samsung/GT-I9108/GT-I9108:2.3.6/GINGERBREAD/ZMKK3:user/release-keys,1400
VEGA/VEGA_IM-A890L/EF59L:4.2.2/JDQ39/IM-A890L.003:user/release-keys,3200
alps/l7ret_bxc_ds/l7ret_bxc_ds:4.2.2/JDQ39/1384241281:user/test-keys,1800
samsung/kylexx/kyleopen:4.0.4/IMM76I/S7562XXALJ4:user/release-keys,1500
htc_asia_hk_cht/htc_liberty/liberty/liberty:2.2/FRF91/279279:user/release-keys,1200
unknown,1900
lge/g2_open_cn/g2:4.2.2/JDQ39B/D80210d.1379696461:user/release-keys,3000
samsung/GT-I9100/GT-I9100:4.1.2/JZO54K/I9100ZSLSH:user/release-keys,2080
Huawei/C8825D/hwc8825D:4.0.4/HuaweiC8825D/C92B968:user/ota-rel-keys,release-keys,1500
android/g1a_yp/g1a_yp:4.1.1/GRK39F/1368429427:user/test-keys,1800
VEGA/VEGA_IM-A870S/ef52s:4.1.2/JZO54K/IM-A870S.005:user/release-keys,2150
vivo/bbk15_td_ics2/bbk15_td_ics2:4.0.4/IMM76D/:user/test-keys,1500
qcom/msm8625/msm8625:4.1/JZO54K/eng.WLDTECH:user/test-keys,800
ZTE/P177E01/P177E01:4.1.1/JRO03C/20130115.102519:user/release-keys,17778
Hisense/EG950/EG950:4.0.4/IMM76I/eng.03261510:user/release-keys,2100
MOTO/EdisonPRC/edison:2.3.6/5.5.1-1_GC-109/52:user/release-keys,1735
1080P/1080P-N003/1080P-N003:4.2.1/1080P1080P-N003/1080P_N003_V1.1_W1.1:user/release-keys,3500
MOTO/olympus/olympus:2.3.5/4.5.3-118_OLY-14/111106:user/release-keys,1800
Xiaomi/pisces/pisces:4.2.1/JOP40D/JXCCNAL11.0:user/release-keys,3050
ZTE/U880s/U880s:2.3.7/GWK74/eng.root.20121102.152553:user/release-keys,2000
ZTE/P188F04/P188F04:4.2.1/JOP40D/20130513.173028:user/release-keys,2500
qcom/msm8625/msm8625:4.1.2/JZO54K/eng.colin.20130530.142603:userdebug/test-keys,98
google/hammerhead/hammerhead:4.4.2/KOT49H/937116:user/release-keys,2300
