=====================start
new message format: id=50, num=10010, content=TCYL
new message format: id=51, num=10086, content=CXGPRSTC
new message format: id=52, num=10001, content=702
new message format: id=53, num=10086, content=1091
new message format: id=54, num=10086, content=话费
new message format: id=55, num=10010, content=107
new message format: id=56, num=10086, content=查流量
new message format: id=57, num=10086, content=119
new message format: id=58, num=10010, content=110
new message format: id=59, num=10010, content= 2082
new message format: id=60, num=10010, content=查询流量
new message format: id=61, num=10010, content=704
new message format: id=62, num=10010, content=7011#201309
new message format: id=63, num=10086, content=162
new message format: id=64, num=10086, content=66
new message format: id=65, num=10010, content=5142
new message format: id=66, num=10086, content=1581
new message format: id=67, num=10001, content=199
new message format: id=68, num=10086, content=102
new message format: id=69, num=10086, content=103
new message format: id=70, num=10001, content=109
new message format: id=71, num=10086, content=105
new message format: id=72, num=10086, content=17*09#
   731,(湖南长沙)     中国联通联通3G      :   ID=39   10010,      2082
   660,(广东汕尾)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   771,(广西南宁)     中国电信电信        :   ID=70   10001,      109
   762,(广东河源)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   580,(浙江舟山)     中国移动动感地带    :   ID=66   10086,      1581
   691,(云南景洪)     中国电信电信        :   ID=67   10001,      199
   941,(甘肃甘南)     中国移动动感地带    :   ID=71   10086,      105
   953,(宁夏吴忠)     中国电信电信        :   ID=42   10001,      108
   574,(浙江宁波)     中国移动神州行      :   ID=66   10086,      1581
   512,(江苏苏州)     中国联通联通3G      :   ID=31   10010,      705
   722,(湖北随枣)     中国移动神州行      :   ID=19   10086,      CXLL
   565,(安徽含山)     中国移动全球通      :   ID=64   10086,      66
   416,(辽宁锦州)     中国移动神州行      :   ID=57   10086,      119
   750,(广东江门)     中国电信电信        :   ID=52   10001,      702
   873,(云南个旧)     中国电信电信        :   ID=67   10001,      199
    28,(四川成都)     中国联通联通3G      :   ID=61   10010,      704
   728,(湖北仙桃)     中国联通联通2G      :   ID=60   10010,      查询流量
   855,(贵州凯里)     中国联通联通3G      :   ID=26   10010,      1071
   768,(广东潮州)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   571,(浙江杭州)     中国移动动感地带    :   ID=66   10086,      1581
   710,(湖北襄樊)     中国联通联通3G      :   ID=59   10010,       2082
   972,(青海乐都)     中国联通联通3G      :   ID=39   10010,      2082
   519,(江苏常州)     中国联通联通3G      :   ID=31   10010,      705
   954,(宁夏固原)     中国移动动感地带    :   ID=72   10086,      17*09#
   932,(甘肃定西)     中国联通联通2G      :   ID=35   10010,      CXLL
   775,(广西玉林)     中国移动动感地带    :   ID=69   10086,      103
   562,(安徽铜陵县)   中国移动动感地带    :   ID=64   10086,      66
   951,(宁夏银川)     中国移动全球通      :   ID=72   10086,      17*09#
   556,(安徽岳西)     中国联通联通3G      :   ID=26   10010,      1071
   818,(四川达川)     中国联通联通3G      :   ID=61   10010,      704
   772,(广西柳州)     中国移动神州行      :   ID=69   10086,      103
   575,(浙江绍兴)     中国移动神州行      :   ID=66   10086,      1581
   553,(安徽南陵)     中国移动动感地带    :   ID=64   10086,      66
   738,(湖南娄底)     中国联通联通3G      :   ID=39   10010,      2082
   766,(广东云浮)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   757,(广东佛山)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   797,(江西赣州)     中国移动全球通      :   ID=68   10086,      102
   553,(安徽南陵)     中国移动全球通      :   ID=64   10086,      66
   578,(浙江丽水)     中国移动全球通      :   ID=66   10086,      1581
   763,(广东清远)     中国电信电信        :   ID=52   10001,      702
   914,(陕西商南)     中国联通联通2G      :   ID=26   10010,      1071
   717,(湖北宜昌)     中国移动全球通      :   ID=19   10086,      CXLL
   411,(辽宁大连)     中国移动全球通      :   ID=57   10086,      119
   769,(广东东莞)     中国电信电信        :   ID=52   10001,      702
   436,(吉林白城)     中国移动全球通      :   ID=20   10086,      CXSJLL
   834,(四川西昌)     中国联通联通2G      :   ID=61   10010,      704
   356,(山西晋城)     中国移动全球通      :   ID=63   10086,      162
   436,(吉林白城)     中国移动动感地带    :   ID=20   10086,      CXSJLL
   794,(江西抚州)     中国移动动感地带    :   ID=68   10086,      102
    20,(广东广州)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   760,(广东中山)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   887,(云南中甸)     中国电信电信        :   ID=67   10001,      199
   356,(山西晋城)     中国移动动感地带    :   ID=63   10086,      162
